	purity
NCC-CRC-1665-1	0.5825642158169314
NCC-CRC-935-1A	0.39423874870971304
NCC-CRC-490-1	0.6419382021307932
NCC-CRC-1463-1	0.6275243364119756
NCC-CRC-1456-1	0.6740004037352401
NCC-CRC-1030-1	0.6428681759837618
NCC-CRC-1644-1	0.28644941160122434
NCC-CRC-1393-1	0.43125480607718747
NCC-CRC-649-1	0.536399203923343
NCC-CRC-1639-1	0.639721897454008
NCC-CRC-1664-1	0.5899154976247425
NCC-CRC-1127-1	0.643817230572795
NCC-CRC-1315-1	0.6248606827660487
NCC-CRC-1414-1	0.6809411048689742
NCC-CRC-1323-1	0.7703420474499328
NCC-CRC-1646-1	0.5974918634033692
NCC-CRC-1066-1	0.552093608786281
NCC-CRC-1464-1	0.6354330901344291
NCC-CRC-1165-1	0.67132643226635
NCC-CRC-1607-1	0.6452589039750103
NCC-CRC-1448-1	0.6862660370685914
NCC-CRC-891-2A	0.5851255602993242
NCC-CRC-858-1	0.5999069851042909
NCC-CRC-1614-1	0.5821477354273463
