AbsCN.seq	ASCAT	PurBayes	ABSOLUTE	mean	median
TCGA-06-0190-01	0.34	0.36	0.533351	0.57	0.45083775	0.4466755
TCGA-06-0210-01	0.54	0.3	0.409379	0.45	0.42484475	0.4296895
TCGA-06-0211-01	0.56	0.8	0.8199684	0.86	0.7599921	0.8099842
TCGA-06-0219-01	0.41	0.62	0.6047557	0.64	0.568688925	0.61237785
TCGA-06-0238-01	0.3	0.59	0.7693701	0.78	0.609842525	0.67968505
TCGA-06-0644-01	0.47	0.46	0.487625048739678	0.47	0.471906262184919	0.47
TCGA-06-0645-01	0.55	0.62	0.6352031	0.65	0.613800775	0.62760155
TCGA-06-0646-01	0.63	0.75	0.7786722	0.84	0.74966805	0.7643361
TCGA-06-0649-01	0.38	0.59	0.6160118	0.62	0.55150295	0.6030059
TCGA-06-0686-01	0.53	0.62	0.691002417823425	0.85	0.672750604455856	0.655501208911712
TCGA-06-0743-01	0.6	0.78	0.7679122	0.85	0.74947805	0.7739561
TCGA-06-0744-01	0.81	0.82	0.8441659	0.89	0.841041475	0.83208295
TCGA-06-0745-01	0.9	0.75	0.846224614866051	0.81	0.826556153716513	0.828112307433025
TCGA-06-0747-01	0.75	0.85	0.8754068	0.92	0.8488517	0.8627034
TCGA-06-0749-01	0.72	0.57	0.638487836508299	0.56	0.622121959127075	0.60424391825415
TCGA-06-0750-01	0.31	0.68	0.6220745	0.71	0.580518625	0.65103725
TCGA-06-0878-01	0.55	0.71	0.704804978080167	0.76	0.681201244520042	0.707402489040084
TCGA-06-0882-01	0.38	0.52	0.4957074	0.52	0.47892685	0.5078537
TCGA-06-1804-01	0.86	0.78	0.7698387	0.81	0.804959675	0.795
TCGA-06-2557-01	0.67	0.39	0.6855915	0.72	0.616397875	0.67779575
TCGA-06-2558-01	0.68	0.75	0.780543932243405	0.82	0.757635983060851	0.765271966121702
TCGA-06-2559-01	0.87	0.83	0.7985273	0.9	0.849631825	0.85
TCGA-06-2561-01	0.85	0.6	0.659495680260503	0.46	0.642373920065126	0.629747840130252
TCGA-06-2562-01	0.62	0.7	0.7238574	0.74	0.69596435	0.7119287
TCGA-06-2563-01	0.37	0.78	0.7595708	0.85	0.6898927	0.7697854
TCGA-06-2564-01	0.43	0.68	0.70938	0.78	0.649845	0.69469
TCGA-06-2565-01	0.72	0.84	0.8780019	0.91	0.837000475	0.85900095
TCGA-06-2567-01	0.47	0.73	0.7266382	0.8	0.68165955	0.7283191
TCGA-06-2569-01	0.7	0.75	0.824845187463736	0.94	0.803711296865934	0.787422593731868
TCGA-06-2570-01	0.71	0.8	0.9035685	0.9	0.828392125	0.85
TCGA-06-5408-01	0.74	0.75	0.8392514	0.9	0.80731285	0.7946257
TCGA-06-5410-01	0.2	0.265272335727305	0.11234631	0.277477415134848	0.213774015215538	0.232636167863653
TCGA-06-5411-01	0.53	0.6	0.5377217	0.64	0.576930425	0.56886085
TCGA-06-5412-01	0.34	0.323381090118135	0.1976981	0.29	0.287769797529534	0.306690545059067
TCGA-06-5413-01	0.51	0.65	0.6353146	0.74	0.63382865	0.6426573
TCGA-06-5414-01	0.52	0.49	0.6752261	0.78	0.616306525	0.59761305
TCGA-06-5415-01	0.78	0.74	0.7818233	0.83	0.782955825	0.78091165
TCGA-06-5416-01	0.73	0.5	0.8812047	0.7429315416266	0.71353406040665	0.7364657708133
TCGA-06-5418-01	0.71	0.76	0.6998574	0.79	0.73996435	0.735
TCGA-06-5856-01	0.56	0.6	0.8589173	0.9	0.729729325	0.72945865
TCGA-06-5858-01	0.61	0.69	0.707413387262066	0.734284064218454	0.68542436287013	0.698706693631033
TCGA-06-5859-01	0.51	0.74	0.666603	0.79	0.67665075	0.7033015
TCGA-08-0386-01	0.65	0.688919212742765	0.77203320034029	0.9	0.752738103270764	0.730476206541527
TCGA-09-0364-01	0.672554524770124	0.82	0.6311673	0.89	0.753430456192531	0.746277262385062
TCGA-09-0366-01	0.67	0.61	0.4311626	0.646500736619915	0.589415834154979	0.628250368309958
TCGA-09-0367-01	0.74	0.8	0.829277439293325	0.851274065785829	0.805137876269789	0.814638719646662
TCGA-09-0369-01	0.8	0.81	0.3918127	0.9	0.725453175	0.805
TCGA-09-1670-01	0.71	0.69	0.45361547	0.6967830058769	0.637599618969225	0.69339150293845
TCGA-09-1673-01	0.74	0.78	0.8230876	0.87	0.8032719	0.8015438
TCGA-09-1674-01	0.69	0.82	0.852944076308966	0.95	0.828236019077241	0.836472038154483
TCGA-09-2044-01	0.78	0.81	0.8367542	0.89	0.82918855	0.8233771
TCGA-09-2045-01	0.87	0.81	0.8844323	0.910494892163167	0.868731798040792	0.87721615
TCGA-09-2051-01	0.63	0.65	0.699451334546763	0.74	0.679862833636691	0.674725667273382
TCGA-09-2053-01	0.56	0.74	0.562913	0.81	0.66822825	0.6514565
TCGA-09-2056-01	0.87	0.83	0.8033546	0.896550104383018	0.849976176095754	0.85
TCGA-10-0926-01	0.62	0.75	0.6910112	0.87	0.7327528	0.7205056
TCGA-10-0927-01	0.84	0.7	0.3594114	0.82	0.67985285	0.76
