,purity
TCGA-EY-A72D-01,0.825
TCGA-FI-A2EY-01,0.815
TCGA-FI-A3PV-01,0.63
TCGA-FI-A3PX-01,0.9063687
TCGA-H5-A2HR-01,0.765
TCGA-JU-AAVI-01,0.635
TCGA-K6-A3WQ-01,0.71
TCGA-KJ-A3U4-01,0.82076035
TCGA-KP-A3VZ-01,0.76
TCGA-KP-A3W0-01,0.67
TCGA-KP-A3W1-01,0.4
TCGA-KP-A3W3-01,0.775
TCGA-KP-A3W4-01,0.5805366999999999
TCGA-PG-A5BC-01,0.69898565
TCGA-PG-A6IB-01,0.5421316870293851
TCGA-PG-A7D5-01,0.6926540300808629
TCGA-PG-A914-01,0.7404884017956559
TCGA-PG-A915-01,0.647970230937434
TCGA-PG-A916-01,0.718761308484408
TCGA-PG-A917-01,0.672712190103629
TCGA-QF-A5YS-01,0.64
TCGA-QF-A5YT-01,0.305
TCGA-QS-A5YQ-01,0.6585637
TCGA-QS-A5YR-01,0.5392336
TCGA-QS-A744-01,0.680679307199749
TCGA-QS-A8F1-01,0.6615302265528679
TCGA-SJ-A6ZI-01,0.5364764823550809
TCGA-SJ-A6ZJ-01,0.5944455994156689
TCGA-SL-A6J9-01,0.575
TCGA-SL-A6JA-01,0.88396745
TCGA-4C-A93U-01,0.640660409990812
TCGA-BJ-A0YZ-01,0.41586009999999995
TCGA-BJ-A0Z0-01,0.75860155
TCGA-BJ-A0Z2-01,0.8345806
TCGA-BJ-A0Z3-01,0.3939758
TCGA-BJ-A0Z9-01,0.65866165
TCGA-BJ-A0ZA-01,0.5363502
TCGA-BJ-A0ZB-01,0.55
TCGA-BJ-A0ZC-01,0.72882135
TCGA-BJ-A0ZE-01,0.725
TCGA-BJ-A0ZG-01,0.475
TCGA-BJ-A0ZH-01,0.42251640000000007
TCGA-BJ-A0ZJ-01,0.43552465
TCGA-BJ-A18Y-01,0.5722293
TCGA-BJ-A18Z-01,0.32
TCGA-BJ-A191-01,0.615
TCGA-BJ-A192-01,0.631710868464457
TCGA-BJ-A28R-01,0.7056591999999999
TCGA-BJ-A28S-01,0.615
TCGA-BJ-A28T-01,0.61825865
TCGA-BJ-A28V-01,0.51210755
TCGA-BJ-A28X-01,0.51940255
TCGA-BJ-A28Z-01,0.4429484
TCGA-BJ-A290-01,0.616117303497098
TCGA-BJ-A2N7-01,0.65
TCGA-BJ-A2N8-01,0.495
TCGA-BJ-A2N9-01,0.635800637611201
TCGA-BJ-A2NA-01,0.57237315
TCGA-BJ-A2P4-01,0.72625885
TCGA-BJ-A3EZ-01,0.519409360386908
TCGA-BJ-A3F0-01,0.367100414714562
TCGA-BJ-A3PR-01,0.305
TCGA-BJ-A3PT-01,0.49427955
TCGA-BJ-A3PU-01,0.62353355
TCGA-BJ-A45D-01,0.455
TCGA-BJ-A45E-01,0.23056785
TCGA-BJ-A45F-01,0.4456249
TCGA-BJ-A45G-01,0.555
TCGA-BJ-A45H-01,0.31
TCGA-BJ-A45I-01,0.295
TCGA-BJ-A45J-01,0.365
TCGA-BJ-A45K-01,0.62454545
TCGA-BJ-A4O8-01,0.573296367255183
TCGA-BJ-A4O9-01,0.87146585
TCGA-CE-A13K-01,0.61486685
TCGA-CE-A27D-01,0.35
TCGA-CE-A3MD-01,0.5698998000000001
TCGA-CE-A3ME-01,0.6873267
TCGA-CE-A481-01,0.3728357
TCGA-CE-A482-01,0.335
TCGA-CE-A483-01,0.31
TCGA-CE-A484-01,0.83198235
TCGA-CE-A485-01,0.38
TCGA-DE-A0XZ-01,0.654007
TCGA-DE-A0Y2-01,0.65
TCGA-DE-A0Y3-01,0.6146171757559621
TCGA-DE-A2OL-01,0.53
TCGA-DE-A3KN-01,0.6705147
TCGA-DE-A4M8-01,0.29531595
TCGA-DE-A4M9-01,0.44
TCGA-DE-A4MA-01,0.7252776906540941
TCGA-DE-A4MB-01,0.5165384
TCGA-DE-A4MC-01,0.6792335999999999
TCGA-DE-A4MD-01,0.93
TCGA-DE-A69J-01,0.586658053577511
TCGA-DE-A69K-01,0.6600810651647679
TCGA-DE-A7U5-01,0.574456310383193
TCGA-DJ-A13L-01,0.38826453455307
TCGA-DJ-A13M-01,0.82625555
TCGA-DJ-A13O-01,0.355
TCGA-DJ-A13P-01,0.6998607
TCGA-DJ-A13R-01,0.4779826
TCGA-DJ-A13S-01,0.515
TCGA-DJ-A13T-01,0.79352385
TCGA-DJ-A13U-01,0.355
TCGA-DJ-A13V-01,0.43295746118812894
TCGA-DJ-A13X-01,0.58526545
TCGA-DJ-A1QD-01,0.4
TCGA-DJ-A1QE-01,0.59496745
TCGA-DJ-A1QF-01,0.545
TCGA-DJ-A1QG-01,0.70049365
TCGA-DJ-A1QH-01,0.5489567
TCGA-DJ-A1QI-01,0.51036845
TCGA-DJ-A1QL-01,0.6131679
TCGA-DJ-A1QM-01,0.22
TCGA-DJ-A1QN-01,0.38316999999999996
TCGA-DJ-A1QO-01,0.45287730000000004
TCGA-DJ-A1QQ-01,0.55194995
TCGA-DJ-A2PN-01,0.585
TCGA-DJ-A2PO-01,0.68637735
TCGA-DJ-A2PP-01,0.5867219
TCGA-DJ-A2PQ-01,0.5930731
TCGA-DJ-A2PR-01,0.434196609809009
TCGA-DJ-A2PS-01,0.5737026
TCGA-DJ-A2PT-01,0.41
TCGA-DJ-A2PU-01,0.57884325
TCGA-DJ-A2PV-01,0.36
TCGA-DJ-A2PW-01,0.305
TCGA-DJ-A2PX-01,0.276126494549392
TCGA-DJ-A2PY-01,0.46
TCGA-DJ-A2PZ-01,0.405
TCGA-DJ-A2Q0-01,0.3768065
TCGA-DJ-A2Q1-01,0.3133877
TCGA-DJ-A2Q2-01,0.39318626178069704
TCGA-DJ-A2Q3-01,0.355
TCGA-DJ-A2Q4-01,0.674334425380969
TCGA-DJ-A2Q5-01,0.34
TCGA-DJ-A2Q6-01,0.465
TCGA-DJ-A2Q7-01,0.44488135
TCGA-DJ-A2Q9-01,0.31364906084992306
TCGA-DJ-A2QA-01,0.50784105
TCGA-DJ-A2QB-01,0.57053145
TCGA-DJ-A2QC-01,0.51
TCGA-DJ-A3UK-01,0.51867535
TCGA-DJ-A3UM-01,0.6246843428500051
TCGA-DJ-A3UN-01,0.66714025
TCGA-DJ-A3UO-01,0.5220110221506239
TCGA-DJ-A3UP-01,0.78160385
TCGA-DJ-A3UQ-01,0.5077047
TCGA-DJ-A3UR-01,0.655
TCGA-DJ-A3US-01,0.614504564169305
TCGA-DJ-A3UT-01,0.44
TCGA-DJ-A3UU-01,0.55159425
TCGA-DJ-A3UW-01,0.385
TCGA-DJ-A3UX-01,0.37789320000000004
TCGA-DJ-A3UY-01,0.38
TCGA-DJ-A3UZ-01,0.310003736000802
TCGA-DJ-A3V0-01,0.53
TCGA-DJ-A3V2-01,0.3475007
TCGA-DJ-A3V3-01,0.53
TCGA-DJ-A3V4-01,0.405
TCGA-DJ-A3V5-01,0.41645119999999997
TCGA-DJ-A3V7-01,0.428249748600865
TCGA-DJ-A3V8-01,0.51123725
TCGA-DJ-A3V9-01,0.37
TCGA-DJ-A3VA-01,0.41000253872530495
TCGA-DJ-A3VB-01,0.5040104999999999
TCGA-DJ-A3VD-01,0.34
TCGA-DJ-A3VE-01,0.525
TCGA-DJ-A3VF-01,0.38358830622897105
TCGA-DJ-A3VG-01,0.695
TCGA-DJ-A3VI-01,0.53
TCGA-DJ-A3VJ-01,0.53844615
TCGA-DJ-A3VK-01,0.415
TCGA-DJ-A3VL-01,0.38822693440645895
TCGA-DJ-A3VM-01,0.7237439
TCGA-DJ-A4UL-01,0.5444300999999999
TCGA-DJ-A4UP-01,0.32
TCGA-DJ-A4UQ-01,0.5451901
TCGA-DJ-A4UR-01,0.71161775
TCGA-DJ-A4UT-01,0.37994815
TCGA-DJ-A4UW-01,0.6628959
TCGA-DJ-A4V0-01,0.35829418062261
TCGA-DJ-A4V2-01,0.505
TCGA-DJ-A4V4-01,0.3
TCGA-DJ-A4V5-01,0.49515695
TCGA-DO-A1JZ-01,0.7656184536737809
TCGA-DO-A1K0-01,0.830968861694524
TCGA-DO-A2HM-01,0.2
TCGA-E3-A3DY-01,0.4783088
TCGA-E3-A3DZ-01,0.70726175
TCGA-E3-A3E0-01,0.5959153
TCGA-E3-A3E1-01,0.63991285
TCGA-E3-A3E2-01,0.57
TCGA-E3-A3E3-01,0.627271770793652
TCGA-E3-A3E5-01,0.78227675
TCGA-E8-A242-01,0.285
TCGA-E8-A2EA-01,0.49114018012770294
TCGA-E8-A3X7-01,0.66
TCGA-E8-A413-01,0.4709170999999999
TCGA-E8-A414-01,0.425
TCGA-E8-A415-01,0.288292
TCGA-E8-A416-01,0.29916795201232205
TCGA-E8-A417-01,0.305
TCGA-E8-A418-01,0.6789975
TCGA-E8-A419-01,0.42726665
TCGA-E8-A432-01,0.448262
TCGA-E8-A433-01,0.432969222672018
TCGA-E8-A434-01,0.455
TCGA-E8-A436-01,0.346342388345878
TCGA-E8-A437-01,0.46807572689724497
TCGA-E8-A438-01,0.444059971039711
TCGA-E8-A44K-01,0.51356765
TCGA-E8-A44M-01,0.27
TCGA-EL-A3CL-01,0.6906850999999999
TCGA-EL-A3CM-01,0.3
TCGA-EL-A3CN-01,0.49604695
TCGA-EL-A3CO-01,0.31
TCGA-EL-A3CP-01,0.47972625
TCGA-EL-A3CR-01,0.295
TCGA-EL-A3CS-01,0.5069464
TCGA-EL-A3CT-01,0.37560459999999996
TCGA-EL-A3CU-01,0.37271345
TCGA-EL-A3CV-01,0.3104599
TCGA-EL-A3CW-01,0.364055022813318
TCGA-EL-A3CX-01,0.82
TCGA-EL-A3CY-01,0.235
TCGA-EL-A3CZ-01,0.45054065
TCGA-EL-A3D0-01,0.769713090079239
TCGA-EL-A3D1-01,0.75141865
TCGA-EL-A3D4-01,0.43589205
TCGA-EL-A3D5-01,0.6165265
TCGA-EL-A3D6-01,0.44982285
TCGA-EL-A3GO-01,0.6473295
TCGA-EL-A3GP-01,0.58015555
TCGA-EL-A3GQ-01,0.76544135
TCGA-EL-A3GR-01,0.5242919
TCGA-EL-A3GS-01,0.58761585
TCGA-EL-A3GU-01,0.5305573595170491
TCGA-EL-A3GV-01,0.615
TCGA-EL-A3GW-01,0.7530675
