"","x"
"TCGA-AA-A00W-01",0.879026530185796
"TCGA-AA-A00Z-01",0.840618811937816
"TCGA-AA-A010-01",0.818438045164119
"TCGA-AA-A017-01",0.782651222551631
"TCGA-AA-A01C-01",0.760873764037943
"TCGA-AA-A01D-01",0.655158472589942
"TCGA-AA-A01F-01",0.887786081527316
"TCGA-AA-A01G-01",0.854395973863924
"TCGA-AA-A01I-01",0.837643405205975
"TCGA-AA-A01K-01",0.673915455418661
"TCGA-AA-A01Q-01",0.85645632330339
"TCGA-AA-A01R-01",0.826408682743851
"TCGA-AA-A01S-01",0.916830277849423
"TCGA-AA-A01T-01",0.935016265058655
"TCGA-AA-A01V-01",0.869970806205701
"TCGA-AA-A022-01",0.757632308879138
"TCGA-AA-A024-01",0.842428613911534
"TCGA-AA-A029-01",0.887218073118788
"TCGA-AA-A02E-01",0.827397730721688
"TCGA-AA-A02F-01",0.786144922026435
"TCGA-AA-A02H-01",0.833676584669
"TCGA-AA-A02J-01",0.932522330000054
"TCGA-AA-A02O-01",0.88460511494798
"TCGA-AA-A02R-01",0.743182505202161
"TCGA-AA-A02W-01",0.833590960717131
"TCGA-AA-A03F-01",0.831260163301415
"TCGA-AA-A03J-01",0.790442127686605
"TCGA-AF-2691-01",0.81054978376476
"TCGA-AF-2692-01",0.767761173253329
"TCGA-AF-3400-01",0.248209402741734
"TCGA-AF-3913-01",0.77819425109523
"TCGA-AG-3574-01",0.866315272568247
"TCGA-AG-3575-01",0.736220644459935
"TCGA-AG-3578-01",0.812776461188417
"TCGA-AG-3580-01",0.81150821867432
"TCGA-AG-3581-01",0.834765470138438
"TCGA-AG-3582-01",0.803854707132049
"TCGA-AG-3583-01",0.887061798229892
"TCGA-AG-3584-01",0.8206386076438
"TCGA-AG-3586-01",0.795344748925033
"TCGA-AG-3587-01",0.835924743749646
"TCGA-AG-3593-01",0.797481864614932
"TCGA-AG-3594-01",0.833628406411854
"TCGA-AG-3598-01",0.877115033588324
"TCGA-AG-3599-01",0.812361176301077
"TCGA-AG-3600-01",0.846335906236609
"TCGA-AG-3601-01",0.861554844373461
"TCGA-AG-3602-01",0.909883363098088
"TCGA-AG-3605-01",0.924953390145788
"TCGA-AG-3608-01",0.858089921373439
"TCGA-AG-3609-01",0.792312261177802
"TCGA-AG-3611-01",0.895583584231673
"TCGA-AG-3612-01",0.805549104638629
"TCGA-AG-3726-01",0.771434863427384
"TCGA-AG-3727-01",0.795506947416339
"TCGA-AG-3728-01",0.712753518810459
"TCGA-AG-3878-01",0.492735592130354
"TCGA-AG-3881-01",0.737312419877612
"TCGA-AG-3882-01",0.812233124939551
"TCGA-AG-3883-01",0.675588811853814
"TCGA-AG-3885-01",0.867307036243448
"TCGA-AG-3887-01",0.825812359212194
"TCGA-AG-3890-01",0.750677086821427
"TCGA-AG-3892-01",0.859196680437294
"TCGA-AG-3893-01",0.737620422378059
"TCGA-AG-3894-01",0.82846964679968
"TCGA-AG-3896-01",0.791023185166017
"TCGA-AG-3898-01",0.81109731843884
"TCGA-AG-3901-01",0.606842779668719
"TCGA-AG-3902-01",0.838491706014417
"TCGA-AG-3909-01",0.834483318312207
"TCGA-AG-3999-01",0.861811892861548
"TCGA-AG-4001-01",0.553997067813502
"TCGA-AG-4005-01",0.782744383157254
"TCGA-AG-4007-01",0.780804777948153
"TCGA-AG-4008-01",0.68621482562599
"TCGA-AG-4015-01",0.836824541958763
"TCGA-AG-A002-01",0.78668283496141
"TCGA-AG-A008-01",0.862221809294125
"TCGA-AG-A00C-01",0.889559259782395
"TCGA-AG-A00H-01",0.589637279267133
"TCGA-AG-A00Y-01",0.851878519838636
"TCGA-AG-A011-01",0.845514345261611
