"","ESTIMATE"
"TCGA-AA-A01R-01","0.769511749218573"
"TCGA-AA-A01S-01","0.966532297674973"
"TCGA-AA-A01T-01","0.924438060148771"
"TCGA-AA-A01V-01","0.924597637125854"
"TCGA-AA-A022-01","0.761035299475191"
"TCGA-AA-A024-01","0.931642515004894"
"TCGA-AA-A029-01","0.945681521183769"
"TCGA-AA-A02E-01","0.916867105773394"
"TCGA-AA-A02F-01","0.940974712728962"
"TCGA-AA-A02H-01","0.905676534231053"
"TCGA-AA-A02J-01","0.974275011311827"
"TCGA-AA-A02O-01","0.898611008140964"
"TCGA-AA-A02R-01","0.712887360284681"
"TCGA-AA-A02W-01","0.92768111803901"
"TCGA-AA-A03F-01","0.887350855458887"
"TCGA-AA-A03J-01","0.817471436492373"
"TCGA-AF-2691-01","0.791294996417248"
"TCGA-AF-2692-01","0.864576868252441"
"TCGA-AF-3400-01","0.474382630031637"
"TCGA-AF-3913-01","0.850113650663364"
"TCGA-AG-3574-01","0.8763388244243"
"TCGA-AG-3575-01","0.738810800299472"
"TCGA-AG-3578-01","0.85159832257969"
"TCGA-AG-3580-01","0.859424159873134"
"TCGA-AG-3581-01","0.837578166341045"
"TCGA-AG-3582-01","0.831283438413303"
"TCGA-AG-3583-01","0.874952718261997"
"TCGA-AG-3584-01","0.820215535954973"
"TCGA-AG-3586-01","0.872975802426448"
"TCGA-AG-3587-01","0.858433650842608"
"TCGA-AG-3593-01","0.824487379800857"
"TCGA-AG-3594-01","0.761567079910171"
"TCGA-AG-3598-01","0.841139024073023"
"TCGA-AG-3599-01","0.869929568091222"
"TCGA-AG-3600-01","0.834312020283047"
"TCGA-AG-3601-01","0.880549873453191"
"TCGA-AG-3602-01","0.790707279304166"
"TCGA-AG-3605-01","0.884332475057838"
"TCGA-AG-3608-01","0.812220797974711"
"TCGA-AG-3609-01","0.765439519648718"
"TCGA-AG-3611-01","0.879135605897732"
"TCGA-AG-3612-01","0.7976068128925"
"TCGA-AG-3726-01","0.83505509006626"
"TCGA-AG-3727-01","0.834176101768841"
"TCGA-AG-3728-01","0.692115992545878"
"TCGA-AG-3878-01","0.67967459093924"
"TCGA-AG-3881-01","0.663292967849418"
"TCGA-AG-3882-01","0.707983202075704"
"TCGA-AG-3883-01","0.684415973021771"
"TCGA-AG-3885-01","0.834655789322695"
"TCGA-AG-3887-01","0.851319763020333"
"TCGA-AG-3890-01","0.802202702930357"
"TCGA-AG-3892-01","0.797132866589248"
"TCGA-AG-3893-01","0.812014127421405"
"TCGA-AG-3894-01","0.875544329978285"
"TCGA-AG-3896-01","0.828673483327398"
"TCGA-AG-3898-01","0.793839771970558"
"TCGA-AG-3901-01","0.595435411974082"
"TCGA-AG-3902-01","0.791522520237082"
"TCGA-AG-3909-01","0.85340899148659"
"TCGA-AG-3999-01","0.875710773347244"
"TCGA-AG-4001-01","0.740967806355203"
"TCGA-AG-4005-01","0.849803233621272"
"TCGA-AG-4007-01","0.776619734433628"
"TCGA-AG-4008-01","0.78828828199082"
"TCGA-AG-4015-01","0.897447556321631"
"TCGA-AG-A002-01","0.958584556155745"
"TCGA-AG-A008-01","0.950129747958008"
"TCGA-AG-A00C-01","0.938652769276716"
"TCGA-AG-A00H-01","0.84867502638438"
"TCGA-AG-A00Y-01","0.895398643265314"
"TCGA-AG-A011-01","0.880653875870178"
"TCGA-AG-A014-01","0.927057466360247"
"TCGA-AG-A015-01","0.944683428782354"
"TCGA-AG-A016-01","0.958716646452411"
"TCGA-AG-A01J-01","0.928847475543032"
"TCGA-AG-A01L-01","0.932145937811727"
"TCGA-AG-A01N-01","0.93471311854362"
"TCGA-AG-A01W-01","0.906386882193307"
"TCGA-AG-A01Y-01","0.844659923192083"
"TCGA-AG-A020-01","0.960500175359869"
