,mean_z_low,Cell type
HN25_P23_C04_S220_comb,-0.19895113028125408,Non-malignant
HN25_P23_C05_S221_comb,-0.01210929683372734,Non-malignant
HN25_P23_C06_S222_comb,0.1310080572825074,Non-malignant
HN25_P23_D02_S230_comb,0.6792532219258737,Non-malignant
HN25_P23_D03_S231_comb,-0.025703345682792093,Non-malignant
HN25_P23_D04_S232_comb,0.10412608064074744,Non-malignant
HN25_P23_D12_S240_comb,-0.07344493239422284,Non-malignant
HN25_P23_E02_S242_comb,0.3237074203800006,Non-malignant
HN25_P23_E05_S245_comb,0.34700135037971647,Non-malignant
HN25_P23_E09_S249_comb,0.043623728280857914,Non-malignant
HN25_P23_F01_S253_comb,0.07743770026405267,Non-malignant
HN25_P23_F04_S256_comb,-0.028856252513474158,Non-malignant
HN25_P23_F07_S259_comb,-0.22617004904468546,Non-malignant
HN25_P23_G05_S269_comb,0.31379975467725113,Non-malignant
HN25_P23_H02_S278_comb,-0.14892620822235555,Non-malignant
HN25_P23_H03_S279_comb,0.6154570232650373,Non-malignant
HN25_P23_H08_S284_comb,0.013965342998575379,Non-malignant
HN25_P23_H09_S285_comb,-0.030695130578326915,Non-malignant
HN25_P23_H10_S286_comb,0.10069856096627858,Non-malignant
HN25_P24_A01_S97_comb,0.2458342068325127,Non-malignant
HN25_P24_A04_S100_comb,0.06120076083865355,Non-malignant
HN25_P24_A05_S101_comb,-0.23269025010702402,Non-malignant
HN25_P24_A08_S104_comb,0.33218362713333544,Non-malignant
HN25_P24_A12_S108_comb,0.06357723312002198,Non-malignant
HN25_P24_B06_S114_comb,0.12157768962037172,Non-malignant
HN25_P24_B12_S120_comb,-0.005005424005066003,Non-malignant
HN25_P24_C08_S128_comb,0.1984592597616964,Non-malignant
HN25_P24_C10_S130_comb,0.1881000092435188,Non-malignant
HN25_P24_D02_S134_comb,-0.11720518149069703,Non-malignant
HN25_P24_D08_S140_comb,0.09580412424728155,Non-malignant
HN25_P24_D09_S141_comb,-0.1712693005478931,Non-malignant
HN25_P24_D12_S144_comb,0.12186972279153788,Non-malignant
HN25_P24_E04_S148_comb,0.12120552400758615,Non-malignant
HN25_P24_E11_S155_comb,-0.0734257754073777,Non-malignant
HN25_P24_F02_S158_comb,-0.05083586906463407,Non-malignant
HN25_P24_F05_S161_comb,0.0810004171910178,Non-malignant
HN25_P24_F06_S162_comb,0.27055332049020264,Non-malignant
HN25_P24_F08_S164_comb,-0.12583194844719356,Non-malignant
HN25_P24_G02_S170_comb,0.10988933446676578,Non-malignant
HN25_P24_G09_S177_comb,0.03277651226618632,Non-malignant
HN25_P24_H04_S184_comb,0.2629269706049303,Non-malignant
HN25_P24_H12_S192_comb,-0.10436716426461602,Non-malignant
