"","ESTIMATE"
"TCGA-2G-AALR-01","0.917219608312969"
"TCGA-X3-A8G4-01","0.609100158596663"
"TCGA-2G-AAGZ-01","0.672510041657766"
"TCGA-2G-AAGK-01","0.818284706046134"
"TCGA-2G-AALN-01","0.787367315628823"
"TCGA-XE-AAO6-01","0.781086418656968"
"TCGA-YU-A90P-01","0.76572239810338"
"TCGA-2G-AAFN-01","0.852585644859903"
"TCGA-VF-A8AC-01","0.687646548830291"
"TCGA-4K-AA1G-01","0.858293473337629"
"TCGA-W4-A7U4-01","0.857346475836992"
"TCGA-XE-AAOD-01","0.60498632037871"
"TCGA-VF-A8AB-01","0.451854689643113"
"TCGA-2G-AAHA-01","0.60349672768332"
"TCGA-VF-A8AE-01","0.582542213218682"
"TCGA-XE-AANR-01","0.780239890463692"
"TCGA-XE-AAOL-01","0.913276298823846"
"TCGA-2G-AAKG-01","0.745685907422145"
"TCGA-2G-AAHN-01","0.564003062394719"
"TCGA-2G-AAL7-01","0.869827713624034"
"TCGA-ZM-AA06-01","0.771752533223089"
"TCGA-2G-AAKH-01","0.757460183121215"
"TCGA-2G-AAFH-01","0.686576936122965"
"TCGA-VF-A8A8-01","0.937334209362955"
"TCGA-2G-AAGJ-01","0.755950234305153"
"TCGA-2G-AAH4-01","0.744295194392641"
"TCGA-2G-AAFV-01","0.859970705447381"
"TCGA-YU-A90Y-01","0.70032352745277"
