"","Cell type 1","Cell type 2"
"TCGA-2G-AAGF-01",0.411794241561516,0.34000004756632
"TCGA-XE-AANJ-01",0.847133572673796,0.0195930487788384
"TCGA-2G-AAF6-01",0.969256504358678,0.018683642118105
"TCGA-XE-A9SE-01",0.894397616902595,0.0820861217820025
"TCGA-2G-AAM4-01",0.460468892983821,0.185126672556906
"TCGA-2G-AAH8-01",0.854950159694678,0.0270532880415236
"TCGA-2G-AAG7-01",0.5311177505085,0.225005409750152
"TCGA-XE-AAOC-01",0.441830007420137,0.485899023757965
"TCGA-XE-AAO6-01",0.768617604159335,0.0233057975140028
"TCGA-2G-AAGX-01",0.254824468236824,0.896020735459125
"TCGA-2G-AAFZ-01",0.451243666796335,0.455136513434757
"TCGA-ZM-AA0N-01",0.742223324271137,0.0303526517186661
"TCGA-2G-AAH0-01",0.84763893057891,0.0593453714177196
"TCGA-2G-AAF4-01",1.04819083441836,0.0346695902168126
"TCGA-2G-AAFM-01",0.634047874984855,0.171714262078134
"TCGA-SO-A8JP-01",0.938727091646251,0.0464545220270641
"TCGA-2G-AAL5-01",0.366345717921342,0.594477972367518
"TCGA-2G-AAG8-01",0.547896593760429,0.168701228671306
"TCGA-2G-AAKO-01",1.30061596296179,0.0275009704353634
"TCGA-2G-AALW-01",0.461918890311782,0.68831750507086
"TCGA-2G-AAHL-01",0.770530536733592,0.0437112559155758
"TCGA-2G-AAG6-01",0.249213164720536,1.01053338898864
"TCGA-2G-AAFY-01",0.715752344794334,0.23352679910749
"TCGA-XE-A8H4-01",1.05517718743486,0.0480632278750576
"TCGA-YU-A90P-01",0.680269270469155,0.128854391808231
"TCGA-WZ-A8D5-01",1.02643503039205,0.0364678311661136
"TCGA-VF-A8AA-01",0.955321171091085,0.0428853153920959
"TCGA-2G-AAFV-01",0.484011856995698,0.359797543299356
"TCGA-2G-AAFG-01",1.0196098095749,0.0461957414692361
"TCGA-2G-AALP-01",0.454854766158099,0.199856382704259
"TCGA-2G-AAGK-01",0.602364972564374,0.176464411142847
"TCGA-2G-AAG9-01",0.933387220509081,0.0412754366518346
"TCGA-2G-AAGN-01",0.56110434197549,0.142466166323965
"TCGA-2G-AAGY-01",0.442532339423737,0.740389680160239
"TCGA-2G-AAGG-01",0.510805020579191,0.424815511417907
"TCGA-2G-AAGW-01",0.466262145173021,0.123992528565314
"TCGA-2G-AAEW-01",1.20928450551253,0.0341935344351325
"TCGA-2G-AAGP-01",0.612338181997745,0.511505459936909
"TCGA-2G-AAHP-01",0.695633360389451,0.0837799637933582
"TCGA-2G-AAGS-01",0.482220785843292,0.366187450249167
"TCGA-2G-AALX-01",0.34749326901669,0.864871036537175
"TCGA-2G-AALS-01",0.751286083670587,0.293335074154871
"TCGA-2G-AAGI-01",0.498885654659886,0.560598529370139
"TCGA-SN-A84X-01",0.507757233937676,0.290870242506356
"TCGA-4K-AA1G-01",1.05354214152464,2.718589277232e-06
"TCGA-2G-AAHP-05",1.05837675680318,0.065148103811792
"TCGA-YU-AA61-01",0.532573032015393,0.488496937005091
"TCGA-2G-AAGY-05",0.98997705062219,0.0174713196063455
"TCGA-XE-AANV-01",1.03238284327483,0.0558645407935745
"TCGA-2G-AAFL-01",0.567955703287984,0.241707406689723
"TCGA-2G-AAKM-01",0.51613090201356,0.270115665199642
"TCGA-2G-AAM2-01",0.515346821839608,0.164594039346062
"TCGA-SB-A76C-01",0.963991742606851,0.0109827134747514
"TCGA-2G-AALZ-01",0.314120807777794,0.862354218882756
"TCGA-YU-A90Q-01",0.970522592836754,0.0463214127265452
"TCGA-2G-AAKL-01",0.573465036448762,0.142689623044026
"TCGA-S6-A8JX-01",0.82662914110578,0.0518653064906814
"TCGA-ZM-AA0F-01",0.900299351455401,0.053174840341454
"TCGA-2G-AAKH-01",0.659435472723535,0.149782447253018
"TCGA-XE-AAOB-01",0.955872307707585,0.273661098511143
"TCGA-XY-A8S3-01",0.514199718443553,0.218214324778618
"TCGA-YU-AA4L-01",0.454788694017651,0.258241182588294
"TCGA-XY-A9T9-01",1.04882787031315,0.0502900012862036
"TCGA-2G-AAFI-01",0.535324261141383,0.213570644219879
"TCGA-2G-AAG0-01",0.631770451524057,0.150421297609146
"TCGA-VF-A8A9-01",0.925542359986362,0.0549979944001292
"TCGA-XY-A8S2-01",0.629067400453113,0.154575245782985
"TCGA-2G-AAFJ-01",0.366192659256202,0.755846946857311
"TCGA-SN-A6IS-01",0.854201659427398,0.0894041852344328
"TCGA-ZM-AA05-01",0.863573816956128,0.00799390883688942
"TCGA-2G-AAGM-01",0.439189451855955,0.447225472523961
"TCGA-2G-AAF1-01",1.24389182789824,0.0369194585927069
"TCGA-2G-AALO-01",0.428484502810102,0.642511151116255
"TCGA-2G-AAG3-01",0.615426228417196,0.441496884131866
"TCGA-WZ-A7V4-01",1.0968554424906,0.0488557137865807
"TCGA-2G-AAGA-01",0.495497757119489,0.168234855231923
"TCGA-2G-AAGC-01",0.626808305004954,0.287142902668777
"TCGA-2G-AAGI-05",1.09031894794617,0.0604255472606583
"TCGA-2G-AALG-01",0.35294748869796,0.618835267684105
"TCGA-2G-AAG5-01",0.254697156235937,0.995268725197391
"TCGA-2G-AALT-01",0.363950493995635,0.720092668235112
"TCGA-XE-AAOJ-01",0.35501692377179,0.607353823181499
"TCGA-4K-AA1I-01",1.14032620308541,0.0558573659422972
"TCGA-S6-A8JY-01",0.891543681956673,0.0331322291313593
"TCGA-WZ-A7V5-01",1.01794170078742,0.0520824916726059
"TCGA-XE-A8H1-01",0.550308331280493,0.207102000694044
"TCGA-XE-AANI-01",0.308352893642845,0.785407835090803
"TCGA-ZM-AA0B-01",0.842995585328375,0.0450127671529153
"TCGA-XE-AAOF-01",0.981191480735971,0.0343560533903663
"TCGA-W4-A7U3-01",0.517674012948644,0.571149032513322
"TCGA-4K-AA1H-01",1.39078957485176,0.176834903103238
"TCGA-2G-AAF8-01",0.821264238493226,0.0985638749593484
"TCGA-XE-AAO3-01",0.865658314173602,0.0390357563973464
"TCGA-2G-AAM3-01",0.23862474858601,0.871959863620438
"TCGA-YU-A912-01",0.921980959381696,0.0349805176233028
"TCGA-SN-A84W-01",0.334292154967905,0.816514630313976
"TCGA-YU-A94I-01",0.446700406540383,0.355578746330776
"TCGA-4K-AAAL-01",0.678347547225557,0.175993881713615
"TCGA-2G-AAL7-01",0.523897199565785,0.132623493458432
"TCGA-2G-AALF-01",0.408965005665503,0.244771459517013
"TCGA-W4-A7U2-01",0.965736169450607,0.0259557056534106
"TCGA-S6-A8JW-01",1.02437518336859,0.0426093125484622
"TCGA-2G-AAHC-01",1.2353851085664,0.0317329124862736
"TCGA-VF-A8A8-01",0.470237128271571,0.160726963447674
"TCGA-SN-A84Y-01",0.552187873447368,0.13619539918866
"TCGA-2G-AAGT-01",0.443123138718116,0.283206714233109
"TCGA-2G-AAH3-01",0.973626507533737,0.0741549803465037
"TCGA-YU-A94D-01",0.41727066362466,0.585711752289897
"TCGA-2G-AALY-01",0.425115429641944,0.407679161668513
"TCGA-SB-A6J6-01",0.970938748674093,0.0388490980333648
"TCGA-2G-AALQ-01",0.363816991275823,0.522692397086817
"TCGA-YU-A90S-01",1.56033378627078,0.00131176489286967
"TCGA-2G-AAH2-01",0.580153839042965,0.6856508179983
"TCGA-YU-A90W-01",0.917803800440158,0.0464167994931348
"TCGA-2G-AAKO-05",1.34307986259562,0.0643842536575002
"TCGA-ZM-AA0D-01",1.20225786208544,0.0200140408131839
"TCGA-2G-AAFG-05",0.979716069613034,0.0825478316800653
"TCGA-2G-AAGO-01",0.571605606499736,0.125989057807603
"TCGA-XE-A8H5-01",0.935452025217088,0.0240669805682111
"TCGA-2X-A9D6-01",1.17504838485566,0.078602825903404
"TCGA-2G-AAGV-01",1.31330127763533e-05,1.28908392313106
"TCGA-ZM-AA0E-01",0.938884336670543,0.00508062966750315
"TCGA-2X-A9D5-01",1.05653075256188,0.0347149166013977
"TCGA-2G-AAFO-01",0.584623614688948,0.252521029687145
"TCGA-2G-AAHT-01",1.09690807766113,0.0195100936492599
"TCGA-XE-AAO4-01",0.830336812243384,0.0479024400597377
"TCGA-2G-AALR-01",0.373448841731212,0.472901291699965
"TCGA-X3-A8G4-01",0.631419109041982,0.293914882705842
"TCGA-2G-AAEX-01",0.873295296826453,0.0949033857217029
"TCGA-2G-AAHG-01",0.790106386306743,0.0608754668177506
"TCGA-2G-AALN-01",0.423054680666302,0.359097732924212
"TCGA-WZ-A7V3-01",0.893418622710337,0.0341542593869658
"TCGA-2G-AAFN-01",0.495811183328029,0.161517393207178
"TCGA-VF-A8AC-01",0.989658934484561,0.0926896174734413
"TCGA-2G-AAKD-01",0.492760096253558,0.16921684928161
"TCGA-ZM-AA0H-01",1.04709300496338,0.00765976220373745
"TCGA-W4-A7U4-01",0.608745351317758,0.127120480729137
"TCGA-XE-AAOD-01",0.938636821440649,0.133464703144808
"TCGA-XY-A89B-01",1.29067300930648,0.0153788944606838
"TCGA-2G-AAHA-01",1.29278118954932,0.00525491508273543
"TCGA-VF-A8AE-01",1.04354066903409,0.0535249584169925
"TCGA-XE-AANR-01",0.758146027485825,0.113312431063756
"TCGA-XE-AAOL-01",0.491064890557354,0.0290000027551283
"TCGA-2G-AAKG-01",0.546788194886728,0.225167474797314
"TCGA-2G-AAGE-01",0.547451776677008,0.238581514892629
"TCGA-2G-AAHN-01",1.16467471672483,0.0290995056732197
"TCGA-VF-A8AB-01",1.31805335460466,0.029913916249963
"TCGA-ZM-AA06-01",0.610443822429167,0.0592615686252066
"TCGA-2G-AAFH-01",0.971022267299447,0.0644856935865376
"TCGA-2G-AAGZ-01",0.592705900550481,0.245941552893663
"TCGA-2G-AAGJ-01",0.617042169468226,0.147274262380359
"TCGA-2G-AAKG-05",0.899261102982557,0.0910124193083236
"TCGA-2G-AAH4-01",0.450063686791883,0.56013502632587
"TCGA-VF-A8AD-01",0.703243389065941,0.132447352084899
