samples	theta2	titanCNA	abscnseq.gsk	PurBayes.gsk	Average
GSK164	0.417	0.309	0.38	0.417	0.38
GSK165	0.311	0.338	0.34	0.359	0.34
GSK166	0.378	0.527	0.48	0.449	0.46
GSK167	0.577	0.572	0.43	0.995	0.64
GSK168	0.163	0.252	0.63	0.279	0.33
GSK169	0.415	0.39	0.42	0.365	0.4
GSK170	0.402	0.395	0.43	0.433	0.42
GSK171	0.554	0.494	0.32	0.382	0.44
GSK172	0.231	0.468	0.4	0.517	0.4
GSK173	0.393	0.35	0.47	0.514	0.43
GSK174	0.286	0.495	0.44	0.534	0.44
GSK190	0.646	0.279	0.34	0.319	0.4
GSK201	0.67	0.402	0.46	0.396	0.48
GSK202	0.876	0.475	0.72	0.806	0.72
GSK203	0.842	0.553	0.68	0.916	0.75
GSK204	0.294	0.359	0.43	0.315	0.35
GSK205	0.136	0.374	0.43	0.302	0.31
GSK206	0.316	0.46	0.2	0.292	0.32
GSK207	0.91	0.63	0.59	0.544	0.67
GSK208	0.438	0.544	0.33	0.302	0.4
GSK209	0.33	0.287	0.36	0.341	0.33
GSK210	0.23	0.506	0.4	0.335	0.37
GSK211	0.391	0.392	0.58	0.749	0.53
GSK212	0.299	0.355	0.53	0.294	0.37
GSK213	0.244	0.484	0.47	0.317	0.38
GSK214	0.21	0.526	0.43	0.37	0.38
GSK215	0.177	0.317	0.65	0.406	0.39
GSK216	0.421	0.422	0.56	0.476	0.47
GSK217	0.585	0.416	0.53	0.369	0.48
GSK218	0.917	0.636	1	0.939	0.87
GSK219	0.78	0.565	0.42	0.512	0.57
GSK220	0.424	0.387	0.58	0.471	0.47
GSK221	0.621	0.5	0.44	0.427	0.5
GSK222	0.324	0.432	0.38	0.647	0.45
GSK223	0.264	0.301	0.64	0.271	0.37
GSK224	0.874	0.509	0.51	0.36	0.56
GSK225	0.581	0.427	0.81	0.44	0.56
GSK226	0.167	0.498	0.42	0.332	0.35
GSK227	0.199	0.5	0.54	0.365	0.4
GSK228	0.503	0.443	0.45	0.866	0.57
GSK229	0.714	0.492	0.48	0.527	0.55
GSK230	0.38	0.604	0.46	0.53	0.49
GSK231	0.377	0.529	0.43	0.479	0.45
GSK232	0.183	0.578	0.35	0.331	0.36
GSK233	0.38	0.43	0.58	0.4	0.45
GSK234	0.614	0.392	0.42	0.251	0.42
GSK235	0.203	0.547	0.83	0.253	0.46
GSK236	0.364	0.234	0.34	0.383	0.33
GSK237	NA	0.307	0.42	0.25	0.33
GSK238	0.334	0.61	0.59	0.299	0.46
GSK239	0.306	0.643	0.55	0.567	0.52
GSK240	0.385	0.302	0.34	0.311	0.33
GSK241	0.35	0.28	0.59	0.356	0.39
GSK242	0.568	0.527	0.38	0.959	0.61
GSK243	0.613	0.471	0.35	0.494	0.48
GSK244	0.293	0.454	1	0.313	0.52
GSK245	0.625	0.396	0.62	0.305	0.49
GSK246	0.715	0.535	0.56	0.318	0.53
GSK247	0.336	0.605	0.51	0.465	0.48
GSK248	0.302	0.545	0.38	0.316	0.39
GSK249	0.292	0.569	0.58	0.44	0.47
GSK250	0.59	0.395	0.56	0.361	0.48
GSK251	0.133	0.232	0.53	0.259	0.29
GSK252	0.897	0.988	0.57	1	0.86
GSK253	0.449	0.615	0.42	0.566	0.51
GSK254	0.231	0.314	0.23	0.364	0.28
GSK255	0.809	0.728	0.44	0.998	0.74
GSK256	0.308	0.32	0.46	0.356	0.36
GSK257	0.178	0.607	0.64	0.331	0.44
GSK259	0.243	0.657	0.34	0.332	0.39
GSK260	0.888	0.521	0.58	0.999	0.75
GSK261	0.28	0.229	0.34	0.335	0.3
GSK262	NA	0.465	0.61	0.369	0.48
GSK263	0.38	0.553	0.64	0.83	0.6
GSK264	0.583	0.501	0.6	0.996	0.67
GSK265	0.352	0.27	0.39	0.395	0.35
GSK266	0.412	0.484	0.3	0.391	0.4
GSK268	0.291	0.517	0.36	0.343	0.38
GSK269	NA	0.357	0.58	0.557	0.5
GSK270	0.369	0.443	0.37	0.419	0.4
GSK271	0.494	0.403	0.38	0.65	0.48
GSK272	0.747	0.389	0.5	0.42	0.51
GSK273	0.516	0.474	0.77	0.384	0.54
GSK274	0.291	0.356	0.53	0.343	0.38
GSK275	0.418	0.426	0.57	0.444	0.46
GSK276	0.536	0.334	0.7	0.971	0.64
GSK277	0.517	0.556	0.54	0.43	0.51
GSK278	0.328	0.491	0.51	0.42	0.44
GSK279	0.606	0.457	0.45	0.421	0.48
GSK280	0.272	0.371	0.41	0.932	0.5
GSK281	0.495	0.599	0.39	0.395	0.47
GSK282	0.309	0.489	0.32	0.463	0.4
GSK283	0.359	0.552	0.41	0.505	0.46
GSK284	0.507	0.702	0.47	0.846	0.63
GSK285	0.457	0.632	0.67	0.463	0.56
GSK286	0.335	0.472	0.56	0.435	0.45
GSK287	0.252	0.426	0.39	0.461	0.38
GSK288	0.366	0.505	0.42	0.312	0.4
GSK289	0.664	0.431	0.48	0.388	0.49
GSK291	0.34	0.357	0.31	0.407	0.35
GSK292	0.635	0.505	0.42	0.283	0.46
GSK293	0.505	0.327	0.41	0.452	0.42
GSK294	0.48	0.643	0.5	0.662	0.57
GSK295	0.43	0.377	0.26	0.419	0.37
GSK296	0.435	0.464	0.39	0.402	0.42
GSK297	0.392	0.521	0.47	0.349	0.43
GSK298	0.396	0.509	0.62	0.381	0.48
GSK299	0.542	0.607	0.59	0.474	0.55
GSK300	0.242	0.485	1	0.329	0.51
GSK301	0.435	0.5	0.68	0.738	0.59
GSK302	0.471	0.491	1	1	0.74
GSK303	0.937	0.383	0.56	0.403	0.57
GSK304	0.262	0.363	0.37	0.522	0.38
GSK305	0.268	0.384	0.34	0.319	0.33
