"","ESTIMATE"
"TCGA-B5-A0JT-01","0.898648934906044"
"TCGA-B5-A0JU-01","0.968267512048239"
"TCGA-B5-A0JV-01","0.949915218774324"
"TCGA-B5-A0JX-01","0.809288983983245"
"TCGA-B5-A0JY-01","0.831293801903"
"TCGA-B5-A0JZ-01","0.707317242677217"
"TCGA-B5-A0K0-01","0.738334340195309"
"TCGA-B5-A0K1-01","0.953530321983382"
"TCGA-B5-A0K2-01","0.679554026221771"
"TCGA-B5-A0K3-01","0.924860068691352"
"TCGA-B5-A0K4-01","0.935239727986254"
"TCGA-B5-A0K6-01","0.826593699575676"
"TCGA-B5-A0K7-01","0.810314121872689"
"TCGA-B5-A0K8-01","0.88567482519779"
"TCGA-B5-A0KB-01","0.759459487614751"
"TCGA-B5-A11E-01","0.930179329570301"
"TCGA-B5-A11F-01","0.912012176993887"
"TCGA-B5-A11G-01","0.857561603058658"
"TCGA-B5-A11H-01","0.778599448449261"
"TCGA-B5-A11I-01","0.768985662023147"
"TCGA-B5-A11J-01","0.903630000562187"
"TCGA-B5-A11L-01","0.748385610656845"
"TCGA-B5-A11N-01","0.647703270512662"
"TCGA-B5-A11O-01","0.771727171944913"
"TCGA-B5-A11P-01","0.962019083859733"
"TCGA-B5-A11Q-01","0.982055486390533"
"TCGA-B5-A11S-01","0.875159509511231"
"TCGA-B5-A11U-01","0.747025844841984"
"TCGA-B5-A11V-01","0.919714744522115"
"TCGA-B5-A11W-01","0.874736406165251"
"TCGA-B5-A11Y-01","0.754943100702238"
"TCGA-B5-A11Z-01","0.942692774851949"
"TCGA-B5-A121-01","0.91353006523735"
"TCGA-B5-A1MR-01","0.601363648759079"
"TCGA-B5-A1MU-01","0.665305108045476"
"TCGA-B5-A1MV-01","0.877312597120667"
"TCGA-B5-A1MX-01","0.837956933373069"
"TCGA-B5-A1MY-01","0.881235354858643"
"TCGA-B5-A1MZ-01","0.817822755052337"
"TCGA-B5-A1N2-01","0.871382363816536"
"TCGA-BG-A0LW-01","0.924528143625328"
"TCGA-BG-A0LX-01","0.821977200953717"
"TCGA-BG-A0M0-01","0.958870855882673"
"TCGA-BG-A0M2-01","0.893178155804127"
"TCGA-BG-A0M3-01","0.940654166580313"
"TCGA-BG-A0M4-01","0.858806892990442"
"TCGA-BG-A0M6-01","0.969128065798988"
"TCGA-BG-A0M7-01","0.8327752406773"
"TCGA-BG-A0M8-01","0.543551857377834"
"TCGA-BG-A0MA-01","0.885005305545476"
"TCGA-BG-A0MC-01","0.767540390956581"
"TCGA-BG-A0MG-01","0.906806347817702"
"TCGA-BG-A0MI-01","0.878466761538471"
"TCGA-BG-A0MO-01","0.885870774717946"
"TCGA-BG-A0MQ-01","0.95274351717808"
"TCGA-BG-A0MS-01","0.879323545761463"
"TCGA-BG-A0MT-01","0.835805024906894"
"TCGA-BG-A0MU-01","0.849578220253354"
"TCGA-BG-A0RY-01","0.875197414092174"
"TCGA-BG-A0VT-01","0.84076614983617"
"TCGA-BG-A0VV-01","0.868892054062362"
"TCGA-BG-A0VW-01","0.803556504703614"
"TCGA-BG-A0VX-01","0.789275590813741"
"TCGA-BG-A0VZ-01","0.834069234520582"
"TCGA-BG-A0W1-01","0.913550961957721"
"TCGA-BG-A0W2-01","0.854079680666698"
"TCGA-BG-A0YU-01","0.926236086689371"
"TCGA-BG-A0YV-01","0.944809969963133"
"TCGA-BG-A186-01","0.858399102618053"
"TCGA-BG-A187-01","0.874947237008383"
"TCGA-BG-A18A-01","0.802879361896611"
"TCGA-BG-A18B-01","0.858700059922695"
"TCGA-BG-A18C-01","0.913947024680606"
"TCGA-BG-A221-01","0.787763211323296"
"TCGA-BG-A222-01","0.918965430919722"
"TCGA-BG-A2AE-01","0.846528015678353"
"TCGA-BG-A2L7-01","0.781345445086372"
"TCGA-BK-A0C9-01","0.828423307764219"
"TCGA-BK-A0CB-01","0.737489630926659"
"TCGA-BK-A139-02","0.819704033786045"
"TCGA-BK-A13C-01","0.933291045810358"
"TCGA-BS-A0T9-01","0.830741711978201"
"TCGA-BS-A0TA-01","0.609736282362663"
"TCGA-BS-A0TC-01","0.918144011457983"
"TCGA-BS-A0TD-01","0.88893747242574"
"TCGA-BS-A0TE-01","0.898990940284161"
"TCGA-BS-A0TG-01","0.740199455930569"
"TCGA-BS-A0TI-01","0.786722810456644"
"TCGA-BS-A0TJ-01","0.883283830291483"
"TCGA-BS-A0U5-01","0.933110045308542"
"TCGA-BS-A0U7-01","0.790407069271925"
"TCGA-BS-A0U8-01","0.902200852278996"
"TCGA-BS-A0U9-01","0.956483153764995"
"TCGA-BS-A0UA-01","0.733800577776886"
"TCGA-BS-A0UF-01","0.770821572689534"
