"","x"
"TCGA-B5-A0K0-01",0.610873159896466
"TCGA-B5-A0K1-01",0.855469079261932
"TCGA-B5-A0K2-01",0.785111424205051
"TCGA-B5-A0K3-01",0.832878656404772
"TCGA-B5-A0K4-01",0.714548036862068
"TCGA-B5-A0K6-01",0.768911167190062
"TCGA-B5-A0K7-01",0.767224499825116
"TCGA-B5-A0K8-01",0.800421810663925
"TCGA-B5-A0KB-01",0.716959498459084
"TCGA-B5-A11E-01",0.746646837634885
"TCGA-B5-A11F-01",0.611381327871552
"TCGA-B5-A11G-01",0.541295663237181
"TCGA-B5-A11H-01",0.657368724263072
"TCGA-B5-A11I-01",0.736357395776695
"TCGA-B5-A11J-01",0.794560579747403
"TCGA-B5-A11L-01",0.785058442289779
"TCGA-B5-A11N-01",0.684905150072436
"TCGA-B5-A11O-01",0.549634972052112
"TCGA-B5-A11P-01",0.840939007574094
"TCGA-B5-A11Q-01",0.89387346127677
"TCGA-B5-A11S-01",0.714730749517953
"TCGA-B5-A11U-01",0.155961831331233
"TCGA-B5-A11V-01",0.703349304410528
"TCGA-B5-A11W-01",0.733904431931487
"TCGA-B5-A11Y-01",0.758160946982374
"TCGA-B5-A11Z-01",0.775791508713179
"TCGA-B5-A121-01",0.796529441525348
"TCGA-B5-A1MR-01",0.571146192580684
"TCGA-B5-A1MU-01",0.569639058243348
"TCGA-B5-A1MV-01",0.760658540990932
"TCGA-B5-A1MX-01",0.684201420174068
"TCGA-B5-A1MY-01",0.739961866364642
"TCGA-B5-A1MZ-01",0.770640092195012
"TCGA-B5-A1N2-01",0.784700477879186
"TCGA-BG-A0LW-01",0.629539166311999
"TCGA-BG-A0LX-01",0.639396893224796
"TCGA-BG-A0M0-01",0.852032628414217
"TCGA-BG-A0M2-01",0.746319896300594
"TCGA-BG-A0M3-01",0.837168539629133
"TCGA-BG-A0M4-01",0.756162749357469
"TCGA-BG-A0M6-01",0.811830124066219
"TCGA-BG-A0M7-01",0.794309573366571
"TCGA-BG-A0M8-01",0.504083533797998
"TCGA-BG-A0MA-01",0.591196951723504
"TCGA-BG-A0MC-01",0.753954643607289
"TCGA-BG-A0MG-01",0.850244268573865
"TCGA-BG-A0MI-01",0.769586130827474
"TCGA-BG-A0MO-01",0.829809757517408
"TCGA-BG-A0MQ-01",0.801875304074888
"TCGA-BG-A0MS-01",0.785438121164836
"TCGA-BG-A0MT-01",0.791229993989448
"TCGA-BG-A0MU-01",0.803217958205654
"TCGA-BG-A0RY-01",0.87485915298979
